Iteration,Function Value
435,-2429.6777791553804
436,-2429.6949183856827
437,-2429.716157824887
438,-2429.728886731893
439,-2429.7550208625325
440,-2429.761963931872
441,-2429.79356093357
442,-2429.8085289375863
443,-2429.821469141395
444,-2429.8381088484757
445,-2429.8597970870733
446,-2429.8700408259024
447,-2429.896725779925
448,-2429.9109817740946
449,-2429.924891976355
450,-2429.94085164433
451,-2429.960350191646
452,-2429.9716696480423
453,-2429.9958616186855
454,-2430.001476443217
455,-2430.031072405347
456,-2430.044915116303
457,-2430.056186228121
458,-2430.071754688418
459,-2430.091900301505
460,-2430.1006611312755
461,-2430.1256670322673
462,-2430.138847031576
463,-2430.1511113838665
464,-2430.1660213185373
465,-2430.1841150865584
466,-2430.1939782689724
467,-2430.216604960119
468,-2430.2292492825545
469,-2430.2417178469186
470,-2430.2560624523576
471,-2430.2728972380883
472,-2430.2830916225716
473,-2430.304194316644
474,-2430.3163661154413
475,-2430.3287033543324
476,-2430.3425459456585
477,-2430.3584671870567
478,-2430.36864335045
479,-2430.388629449143
480,-2430.3932757136054
481,-2430.4184679906516
482,-2430.430437756131
483,-2430.4395486580943
484,-2430.45330670959
485,-2430.470553329601
486,-2430.4774563171554
487,-2430.499247640517
488,-2430.510664230266
489,-2430.520555807806
490,-2430.5337165558853
491,-2430.5493542270187
492,-2430.5571605168225
493,-2430.5769993007907
494,-2430.5879588751022
495,-2430.598053248432
496,-2430.6107073459516
497,-2430.6252947902194
498,-2430.633422308785
499,-2430.6519499822134
500,-2430.6625042119695
501,-2430.672533001906
502,-2430.68473977718
503,-2430.698543590825
504,-2430.7067080936795
505,-2430.7242528171173
506,-2430.734435581564
507,-2430.744262203729
508,-2430.75606308666
509,-2430.7692300996077
510,-2430.7772813947813
511,-2430.7940313747467
512,-2430.8038674179966
513,-2430.813419872743
514,-2430.8248452655375
515,-2430.8374652813554
516,-2430.8453211075876
517,-2430.861393682405
518,-2430.870902469284
519,-2430.880143457807
520,-2430.8912167539356
521,-2430.903349283279
522,-2430.9109647226815
523,-2430.926437967497
524,-2430.935635653284
525,-2430.9445476832225
526,-2430.95528766613
527,-2430.966974814566
528,-2430.9743266351516
529,-2430.9892554136386
530,-2430.9981559410026
531,-2431.006733275277
532,-2431.017155590136
533,-2431.0284288585726
534,-2431.0355068886583
535,-2431.0499316562314
536,-2431.0585474059844
537,-2431.066791447715
538,-2431.076909531441
539,-2431.087793652286
540,-2431.0945957668564
541,-2431.108547682301
542,-2431.116889878911
543,-2431.124806410095
544,-2431.1346320952016
545,-2431.1451473082766
546,-2431.1516763971645
547,-2431.1651804220755
548,-2431.1732593967326
549,-2431.180856873234
550,-2431.1904007895446
551,-2431.200564246156
552,-2431.2068263259134
553,-2431.219903168432
554,-2431.227728535703
555,-2431.2350170099317
556,-2431.2442888577502
557,-2431.254115514479
558,-2431.260118526422
559,-2431.2727858936605
560,-2431.2803666738937
561,-2431.2873571027126
562,-2431.2963658424505
563,-2431.3058690452326
564,-2431.311622077733
565,-2431.3238955012707
566,-2431.331240207981
567,-2431.337944003025
568,-2431.3466979895115
569,-2431.355889864237
570,-2431.36140264356
571,-2431.3732960345114
572,-2431.3804127385874
573,-2431.3868414721273
574,-2431.39534855169
575,-2431.4042402710775
576,-2431.4095228253664
577,-2431.4210488545623
578,-2431.42794523283
579,-2431.4341104449823
580,-2431.442378027114
581,-2431.4509799968873
582,-2431.45604243346
583,-2431.467212796556
584,-2431.4738961695653
585,-2431.4798092423125
586,-2431.4878443537646
587,-2431.4961663453087
588,-2431.5010187029693
589,-2431.5118443087085
590,-2431.5183216709474
591,-2431.5239937466413
592,-2431.5318030731896
593,-2431.53985432016
594,-2431.5445064716596
595,-2431.5549975781014
596,-2431.561275622805
597,-2431.5667175524673
598,-2431.574307471954
