Iteration,Function Value
0,-1343.131864074099
1,-1748.2907889485596
2,-1810.2648333884672
3,-1848.9295880744908
4,-1944.3934149286013
5,-2055.021826937116
6,-2099.2469471788118
7,-2162.695533564807
8,-2183.671366317638
9,-2218.117153195021
10,-2238.311911975724
11,-2261.8769161396253
12,-2283.702745444455
13,-2305.847869769492
14,-2327.072186907404
15,-2340.479562413636
16,-2350.6466400236795
17,-2362.392734837811
18,-2365.757709298681
19,-2370.6845083307385
20,-2379.82936643266
21,-2384.423296129983
22,-2390.6529097493776
23,-2398.107914823914
24,-2402.0050818680484
25,-2405.879926897972
26,-2409.5663989873337
27,-2412.0167168501202
28,-2413.984079008037
29,-2414.9963518547956
30,-2415.709822609939
31,-2416.978277663763
32,-2418.0103787525336
33,-2418.475338436577
34,-2419.530592485834
35,-2420.2647366445344
36,-2421.4590602863905
37,-2421.9625525977735
38,-2423.098015656178
39,-2424.321259088476
40,-2425.157905282864
41,-2426.153795843325
42,-2426.938162019429
43,-2427.7657632204546
44,-2428.176873844612
45,-2428.709591575216
46,-2428.9817564360455
47,-2429.397096247385
48,-2429.8592770038376
49,-2430.0787193390825
50,-2430.2108014399
51,-2430.310238038118
52,-2430.420989162227
53,-2430.573769719331
54,-2430.77829995737
55,-2430.951737415705
56,-2431.034087208839
57,-2431.1706524898946
58,-2431.241890899443
59,-2431.3380995763696
60,-2431.4192931713233
61,-2431.5325771808975
62,-2431.5889483674664
63,-2431.7138828522357
64,-2431.7706518653895
65,-2431.8640768067417
66,-2431.9304343676204
67,-2432.0141753167527
68,-2432.1159470910125
69,-2432.183678459892
70,-2432.220136264939
71,-2432.272485091111
72,-2432.3154295304676
73,-2432.334347834587
74,-2432.38475541119
75,-2432.4308470097308
76,-2432.4692663275896
77,-2432.501298473061
78,-2432.5395641543437
79,-2432.570173550014
80,-2432.591523588246
81,-2432.6091427000815
82,-2432.6372820796378
83,-2432.665653406204
84,-2432.687016705092
85,-2432.704860541181
86,-2432.7196472334426
87,-2432.7329458951845
88,-2432.745349655648
89,-2432.757125050459
90,-2432.7642943284627
91,-2432.771654011013
92,-2432.775966586207
93,-2432.78327825049
94,-2432.7898018978694
95,-2432.7946046579837
96,-2432.797840050809
97,-2432.8002087101704
98,-2432.804697374617
99,-2432.8091906235195
100,-2432.8117054337736
101,-2432.8171714699697
102,-2432.8210427311415
103,-2432.826416575582
104,-2432.8301673371957
105,-2432.8328831054605
106,-2432.8404256627596
107,-2432.84866957146
108,-2432.851563783823
109,-2432.854809107385
110,-2432.856981042026
111,-2432.859405824843
112,-2432.860925105977
113,-2432.861446480478
