Iteration,Function Value
214,-1531.3848007270692
215,-1532.2202263037823
216,-1533.0551727686775
217,-1533.8896382261837
218,-1534.7236207506244
219,-1535.5571183857198
220,-1536.3901291440852
221,-1537.222651006714
222,-1538.054681922451
223,-1538.8862198074594
224,-1539.7172625446728
225,-1540.5478079832392
226,-1541.3778539379532
227,-1542.2073981886788
228,-1543.0364384797583
229,-1543.8649725194146
230,-1544.692997979141
231,-1545.5205124930762
232,-1546.347513657376
233,-1547.1739990295666
234,-1547.9999661278914
235,-1548.8254124306459
236,-1549.6503353755022
237,-1550.4747323588213
238,-1551.298600734955
239,-1552.121937815542
240,-1552.9447408687856
241,-1553.7670071187308
242,-1554.5887337445238
243,-1555.409917879666
244,-1556.2305566112607
245,-1557.050646979249
246,-1557.8701859756363
247,-1558.689170543717
248,-1559.5075975772854
249,-1560.3254639198478
250,-1561.1427663638256
251,-1561.959501649753
252,-1562.775666465476
253,-1563.5912574453457
254,-1564.4062711694135
255,-1565.2207041626234
256,-1566.0345528940122
257,-1566.8478137759066
258,-1567.6604831631328
259,-1568.472557352228
260,-1569.2840325806656
261,-1570.094905026092
262,-1570.9051708055765
263,-1571.7148259748803
264,-1572.523866527748
265,-1573.332288395217
266,-1574.1400874449644
267,-1574.947259480675
268,-1575.753800241453
269,-1576.5597054012717
270,-1577.3649705684654
271,-1578.1695912852783
272,-1578.9735630274633
273,-1579.7768812039494
274,-1580.5795411565732
275,-1581.3815381598895
276,-1582.1828674210676
277,-1582.9835240798743
278,-1583.7835032087642
279,-1584.5827998130749
280,-1585.381408831348
281,-1586.179325135775
282,-1586.9765435327904
283,-1587.7730587638143
284,-1588.5688655061697
285,-1589.3639583741692
286,-1590.1583319204067
287,-1590.951980637253
288,-1591.7448989585778
289,-1592.5370812617168
290,-1593.328521869693
291,-1594.1192150537224
292,-1594.9091550360104
293,-1595.6983359928665
294,-1596.48675205816
295,-1597.274397327124
296,-1598.0612658605496
297,-1598.8473516893705
298,-1599.6326488196796
299,-1600.417151238185
300,-1601.2008529181367
301,-1601.9837478257452
302,-1602.765829927107
303,-1603.5470931956686
304,-1604.3275316202387
305,-1605.1071392135761
306,-1605.8859100215623
307,-1606.6638381329776
308,-1607.4409176898948
309,-1608.2171428986903
310,-1608.9925080416865
311,-1609.76700748942
312,-1610.5406357135296
313,-1611.3133873002578
314,-1612.085256964538
315,-1612.8562395646525
316,-1613.6263301174126
317,-1614.3955238138308
318,-1615.1638160352175
319,-1615.9312023696416
320,-1616.6976786286755
321,-1617.4632408643324
322,-1618.2278853860887
323,-1618.9916087778752
324,-1619.754407914901
325,-1620.516279980162
326,-1621.2772224804687
327,-1622.0372332618235
328,-1622.796310523951
329,-1623.5544528337807
330,-1624.3116591376788
331,-1625.0679287722023
332,-1625.8232614731571
333,-1626.5776573827407
334,-1627.3311170545412
335,-1628.0836414561904
336,-1628.8352319694684
337,-1629.5858903876765
338,-1630.3356189101369
339,-1631.084420133677
340,-1631.8322970410322
341,-1632.5792529861094
342,-1633.3252916761294
343,-1634.0704171507
344,-1634.814633757947
345,-1635.5579461278803
346,-1636.3003591432375
347,-1637.04187790811
348,-1637.7825077147254
349,-1638.5222540087916
350,-1639.2611223538904
351,-1639.9991183954187
352,-1640.7362478246255
353,-1641.4725163433009
354,-1642.2079296296806
355,-1642.9424933061186
356,-1643.6762129090505
