Iteration,Function Value
0,401.0
1,400.3672020808187
2,399.8967015373303
3,399.49306332319236
4,399.1260934482782
5,398.7818223958737
6,398.4524798601756
7,398.1332351567626
8,397.8208512749604
9,397.51303872147406
10,397.20811097256393
11,396.90478587706224
12,396.6020640737801
13,396.2991508823769
14,395.9954040991731
15,395.6902979309427
16,395.38339736324787
17,395.07433949229727
18,394.76281963220987
19,394.4485807757557
20,394.1314054597665
21,393.81110938723003
22,393.48753635431973
23,393.16055416160106
24,392.83005127789176
25,392.49593408717294
26,392.158124592623
27,391.81655848312096
28,391.47118349027215
29,391.1219579806831
30,390.7688497406125
31,390.41183491943406
32,390.0508971053954
33,389.68602651255617
34,389.31721926194376
35,388.94447674318883
36,388.5678050454359
37,388.1872144483041
38,387.80271896525176
39,387.41433593295426
40,387.0220856413159
41,386.62599099954303
42,386.22607723437744
43,385.82237161712067
44,385.41490321653237
45,385.0037026750529
46,384.58880200610565
47,384.17023441050077
48,383.7480341101739
49,383.322236197689
50,382.8928765000848
51,382.45999145579884
52,382.02361800350826
53,381.5837934818496
54,381.1405555390584
55,380.69394205166816
56,380.2439910514753
57,379.7907406600444
58,379.3342290300939
59,378.8744942931517
60,378.41157451292946
61,377.9455076438974
62,377.47633149459716
63,377.0040836952618
64,376.52880166934665
65,376.05052260861083
66,375.5692834514181
67,375.0851208639528
68,374.59807122407193
69,374.1081706075412
70,373.6154547764165
71,373.11995916936587
72,372.62171889372695
73,372.1207687191321
74,371.61714307253214
75,371.1108760344752
76,370.6020013365004
77,370.0905523595324
78,369.57656213315715
79,369.0600633356834
80,368.54108829489445
81,368.01966898941015
82,367.49583705058313
83,366.9696237648585
84,366.4410600765404
85,365.9101765909055
86,365.3770035776165
87,364.84157097439055
88,364.3039083908801
89,363.76404511273194
90,363.22201010579346
91,362.6778320204332
92,362.13153919595277
93,361.5831596650675
94,361.03272115843424
95,360.4802511092086
96,359.92577665761564
97,359.36932465551934
98,358.81092167098205
99,358.25059399279735
100,357.6883676349907
101,357.1242683412811
102,356.5583215894933
103,355.99055259591523
104,355.4209863195984
105,354.8496474665947
106,354.27656049412565
107,353.7017496146822
108,353.12523880005403
109,352.5470517852841
110,351.96721207254797
111,351.3857429349586
112,350.80266742029386
113,350.21800835464705
114,349.63178834600177
115,349.04402978772885
116,348.4547548620101
117,347.863985543183
118,347.2717436010148
119,346.67805060389946
120,346.08292792198483
121,345.48639673022615
122,344.88847801137246
123,344.2891925588795
124,343.6885609797602
125,343.086603697365
126,342.4833409540981
127,341.8787928140727
128,341.27297916570114
129,340.66591972422543
130,340.0576340341901
131,339.44814147185576
132,338.83746124755686
133,338.22561240800457
134,337.61261383853684
135,336.9984842653149
136,336.3832422574707
137,335.7669062292047
138,335.1494944418346
139,334.5310250057977
140,333.9115158826092
141,333.29098488677363
142,332.66944968765574
143,332.0469278113081
144,331.4234366422587
145,330.798993425258
146,330.17361526698835
147,329.5473191377362
148,328.9201218730268
149,328.29204017522477
150,327.6630906150984
151,327.0332896333542
152,326.4026535421334
153,325.77119852648286
154,325.13894064578994
155,324.50589583519104
156,323.87207990694947
157,323.23750855180543
158,322.6021973402988
159,321.9661617240642
160,321.3294170371007
161,320.6919784970169
162,320.05386120624974
163,319.41508015326025
164,318.77565021370714
165,318.13558615159525
166,317.49490262040314
167,316.8536141641904
168,316.21173521868195
169,315.56928011233344
170,314.9262630673746
171,314.2826982008374
172,313.63859952556083
173,312.9939809511811
174,312.3488562851005
175,311.70323923344216
176,311.0571434019854
177,310.41058229708653
178,309.76356932658086
179,309.1161178006731
180,308.4682409328079
181,307.81995184052886
182,307.17126354632137
183,306.5221889784422
184,305.872740971734
185,305.2229322684279
186,304.5727755189316
187,303.92228328260467
188,303.27146802852343
189,302.6203421362307
190,301.9689178964743
191,301.31720751193666
192,300.66522309794925
193,300.0129766831973
194,299.36048021041563
195,298.70774553707076
196,298.0547844360347
197,297.40160859624746
198,296.7482296233718
199,296.0946590404351
200,295.4409082884645
201,294.78698872711186
202,294.13291163526964
203,293.47868821167805
204,292.8243295755235
205,292.16984676702907
206,291.515250748037
207,290.8605524025809
208,290.2057625374541
209,289.550891882766
210,288.89595109249433
211,288.24095074502816
212,287.58590134370394
213,286.930813317335
214,286.27569702073384
215,285.6205627352281
216,284.96542066916885
217,284.31028095843317
218,283.6551536669217
219,283.0000487870463
220,282.344976240216
221,281.6899458773137
222,281.0349674791687
223,280.3800507570233
224,279.7252053529932
225,279.0704408405234
226,278.415766724837
227,277.7611924433816
228,277.1067273662675
229,276.45238079670213
230,275.7981619714207
231,275.14408006111006
232,274.490144170828
233,273.8363633404199
234,273.18274654492814
235,272.5293026949986
236,271.87604063728287
237,271.2229691548346
238,270.57009696750356
239,269.9174327323242
240,269.26498504390065
241,268.6127624347872
242,267.9607733758663
243,267.3090262767206
244,266.6575294860018
245,266.00629129179794
246,265.35531992199395
247,264.70462354463007
248,264.05421026825684
249,263.4040881422868
250,262.75426515734165
251,262.10474924559713
252,261.45554828112466
253,260.8066700802287
254,260.1581224017821
255,259.5099129475579
256,258.86204936255797
257,258.21453923533835
258,257.5673900983324
259,256.9206094281704
260,256.2742046459969
261,255.62818311778443
262,254.98255215464502
263,254.33731901313962
264,253.69249089558224
265,253.0480749503454
266,252.40407827215984
267,251.76050790241297
268,251.11737082944484
269,250.47467398884064
270,249.8324242637228
271,249.1906284850383
272,248.54929343184583
273,247.9084258315983
274,247.26803236042602
275,246.6281196434146
276,245.98869425488303
277,245.34976271865807
278,244.71133150834655
279,244.07340704760762
280,243.43599571041995
281,242.79910382134906
282,242.1627376558111
283,241.5269034403367
284,240.89160735282982
285,240.25685552282877
286,239.62265403176113
287,238.98900891319906
288,238.35592615311327
289,237.72341169012347
290,237.09147141574817
291,236.46011117465247
292,235.82933676489375
293,235.19915393816663
294,234.5695684000453
295,233.94058581022387
296,233.312211782756
297,232.6844518862933
298,232.05731164432066
299,231.43079653539112
300,230.8049119933582
301,230.1796634076078
302,229.55505612328838
303,228.93109544153873
304,228.30778661971553
305,227.6851348716182
306,227.0631453677135
307,226.44182323535816
308,225.821173559019
309,225.20120138049447
310,224.5819116991316
311,223.96330947204493
312,223.34539961433023
313,222.72818699928013
314,222.11167645859732
315,221.49587278260609
316,220.88078072046378
317,220.26640498036863
318,219.65275022976968
319,219.03982109557262
320,218.42762216434605
321,217.81615798252508
322,217.20543305661627
323,216.59545185339823
324,215.98621880012402
325,215.37773828471998
326,214.77001465598485
327,214.16305222378782
328,213.5568552592651
329,212.95142799501468
330,212.34677462529118
331,211.74289930619946
332,211.13980615588702
333,210.53749925473394
334,209.9359826455448
335,209.33526033373673
336,208.7353362875288
337,208.13621443812744
338,207.53789867991446
339,206.94039287063126
340,206.34370083156315
341,205.74782634772313
342,205.15277316803426
343,204.5585450055102
344,203.96514553743702
345,203.37257840555208
346,202.78084721622236
347,202.18995554062334
348,201.59990691491427
349,201.01070484041642
350,200.42235278378615
351,199.8348541771902
352,199.24821241847886
353,198.66243087135874
354,198.07751286556416
355,197.49346169702866
356,196.91028062805444
357,196.32797288748154
358,195.74654167085689
359,195.16599014060162
360,194.58632142617816
361,194.0075386242556
362,193.42964479887573
363,192.85264298161724
364,192.27653617175946
365,191.70132733644522
366,191.12701941084336
367,190.55361529830998
368,189.98111787054944
369,189.40952996777358
370,188.83885439886183
371,188.26909394151943
372,187.70025134243545
373,187.13232931743954
374,186.5653305516584
375,185.99925769967194
376,185.43411338566764
377,184.86990020359517
378,184.30662071732007
379,183.74427746077666
380,183.1828729381203
381,182.62240962387932
382,182.06288996310514
383,181.50431637152337
384,180.9466912356834
385,180.3900169131068
386,179.83429573243615
387,179.27952999358286
388,178.72572196787348
389,178.172873898197
390,177.6209879991504
391,177.07006645718374
392,176.52011143074455
393,175.97112505042256
394,175.4231094190923
395,174.87606661205578
396,174.32999867718536
397,173.78490763506485
398,173.24079547913038
399,172.6976641758113
400,172.15551566466954
401,171.61435185853864
402,171.0741746436631
403,170.53498587983586
404,169.996787400536
405,169.45958101306547
406,168.92336849868616
407,168.38815161275497
408,167.85393208485942
409,167.3207116189521
410,166.78849189348512
411,166.25727456154382
412,165.72706125097946
413,165.19785356454224
414,164.66965308001284
415,164.14246135033426
416,163.61627990374234
417,163.09111024389722
418,162.56695385001186
419,162.04381217698221
420,161.52168665551608
421,161.00057869226143
422,160.48048966993392
423,159.96142094744457
424,159.44337386002698
425,158.9263497193627
426,158.41034981370794
427,157.89537540801797
428,157.38142774407316
429,156.86850804060273
430,156.3566174934083
431,155.84575727548778
432,155.3359285371584
433,154.82713240617807
434,154.31936998786864
435,153.81264236523668
436,153.30695059909468
437,152.8022957281812
438,152.29867876928157
439,151.79610071734686
440,151.29456254561347
441,150.7940652057215
442,150.2946096278331
443,149.79619672075003
444,149.29882737203116
445,148.80250244810944
446,148.30722279440775
447,147.81298923545532
448,147.31980257500328
449,146.827663596139
450,146.33657306140165
451,145.84653171289605
452,145.3575402724057
453,144.86959944150752
454,144.38270990168283
455,143.89687231443162
456,143.41208732138352
457,142.92835554440936
458,142.4456775857326
459,141.96405402804038
460,141.48348543459284
461,141.00397234933374
462,140.5255152969999
463,140.04811478323015
464,139.5717712946739
465,139.09648529909913
466,138.6222572455006
467,138.14908756420704
468,137.67697666698803
469,137.20592494716087
470,136.7359327796966
471,136.26700052132543
472,135.79912851064256
473,135.33231706821326
474,134.8665664966767
475,134.40187708085102
476,133.93824908783648
477,133.47568276711903
478,133.01417835067326
479,132.55373605306505
480,132.094356071554
481,131.63603858619473
482,131.1787837599386
483,130.72259173873485
484,130.2674626516311
485,129.81339661087404
486,129.36039371200846
487,128.90845403397762
488,128.45757763922194
489,128.00776457377827
490,127.55901486737744
491,127.11132853354312
492,126.66470556968882
493,126.21914595721589
494,125.77464966160953
495,125.33121663253634
496,124.88884680393954
497,124.4475400941355
498,124.00729640590836
499,123.56811562660637
500,123.12999762823549
501,122.69294226755432
502,122.25694938616776
503,121.822018810621
504,121.38815035249263
505,120.95534380848738
506,120.52359896052891
507,120.09291557585246
508,119.66329340709586
509,119.23473219239183
510,118.80723165545811
511,118.38079150568976
512,117.95541143824869
513,117.5310911341539
514,117.10783026037105
515,116.68562846990291
516,116.26448540187694
517,115.84440068163553
518,115.42537392082349
519,115.00740471747623
520,114.59049265610803
521,114.17463730779906
522,113.7598382302823
523,113.34609496803046
524,112.93340705234269
525,112.52177400143023
526,112.11119532050246
527,111.70167050185182
528,111.29319902493927
529,110.88578035647926
530,110.47941395052392
531,110.07409924854663
532,109.66983567952688
533,109.26662266003298
534,108.86445959430532
535,108.46334587433924
536,108.06328087996728
537,107.66426397894193
538,107.26629452701701
539,106.86937186802915
540,106.47349533397941
541,106.07866424511356
542,105.68487791000334
