Iteration,Function Value
0,5050.0
1,5039.905050000999
2,5029.820464131388
3,5019.746417199078
4,5009.683082585337
5,4999.630631863008
6,4989.589234426616
7,4979.5590571371085
8,4969.5402639837275
9,4959.533015765326
10,4949.537469793096
11,4939.553779616448
12,4929.582094773432
13,4919.6225605667605
14,4909.675317866217
15,4899.740502937889
16,4889.81824730033
17,4879.9086776075255
18,4870.011915558202
19,4860.128077830821
20,4850.257276043308
21,4840.399616736456
22,4830.5552013797005
23,4820.724126397864
24,4810.906483217351
25,4801.102358330202
26,4791.31183337434
27,4781.534985228362
28,4771.7718861191715
29,4762.022603740829
30,4752.28720138296
31,4742.565738067204
32,4732.858268690163
33,4723.164844171487
34,4713.485511605712
35,4703.820314416665
36,4694.169292513259
37,4684.532482445685
38,4674.909917561025
39,4665.30162815748
40,4655.707641636467
41,4646.127982651927
42,4636.562673256317
43,4627.011733042793
44,4617.47517928321
45,4607.953027061615
46,4598.445289402989
47,4588.951977397058
48,4579.473100317036
49,4570.0086657332295
50,4560.5586796214575
51,4551.123146466312
52,4541.702069359294
53,4532.29545009188
54,4522.9032892436335
55,4513.525586265479
56,4504.162339558256
57,4494.8135465467185
58,4485.479203749132
59,4476.159306842646
60,4466.853850724593
61,4457.562829569917
62,4448.286236884904
63,4439.024065557373
64,4429.776307903551
65,4420.542955711755
66,4411.324000283084
67,4402.119432469301
68,4392.929242708028
69,4383.753421055456
70,4374.591957216689
71,4365.444840573885
72,4356.312060212329
73,4347.193604944582
74,4338.089463332814
75,4328.999623709447
76,4319.924074196247
77,4310.862802721929
78,4301.815797038427
79,4292.783044735875
80,4283.764533256428
81,4274.760249906998
82,4265.770181870965
83,4256.794316218966
84,4247.832639918813
85,4238.885139844619
86,4229.951802785164
87,4221.032615451602
88,4212.127564484529
89,4203.236636460454
90,4194.359817897761
91,4185.497095262157
92,4176.648454971672
93,4167.81388340124
94,4158.993366886889
95,4150.186891729592
96,4141.394444198773
97,4132.616010535531
98,4123.8515769555715
99,4115.101129651908
100,4106.364654797312
101,4097.642138546565
102,4088.9335670385008
103,4080.238926397891
104,4071.55820273715
105,4062.8913821578913
106,4054.238450752358
107,4045.5993946047165
108,4036.974199792247
109,4028.362852386414
110,4019.7653384538585
111,4011.181644057284
112,4002.6117552562832
113,3994.055658108071
114,3985.513338668165
115,3976.9847829910022
116,3968.469977130491
117,3959.968907140528
118,3951.481559075455
119,3943.0079189904823
120,3934.547972942063
121,3926.1017069882505
122,3917.669107189004
123,3909.2501596064762
124,3900.844850305273
125,3892.4531653526865
126,3884.0750908189107
127,3875.7106127772295
128,3867.3597173041926
129,3859.022390479776
130,3850.6986183875206
131,3842.3883871146645
132,3834.0916827522583
133,3825.80849139527
134,3817.5387991426774
135,3809.2825920975633
136,3801.0398563671797
137,3792.8105780630276
138,3784.5947433009137
139,3776.3923382010094
140,3768.2033488879033
141,3760.0277614906404
142,3751.8655621427683
143,3743.7167369823733
144,3735.581272152109
145,3727.4591537992274
146,3719.35036807561
147,3711.254901137782
148,3703.1727391469394
149,3695.1038682689664
150,3687.048274674447
151,3679.0059445386846
152,3670.976864041714
153,3662.961019368309
154,3654.958396707995
155,3646.9689822550577
156,3638.9927622085484
157,3631.0297227722926
158,3623.079850154892
159,3615.1431305697347
160,3607.219550234995
161,3599.309095373636
162,3591.4117522134175
163,3583.5275069868917
164,3575.65634593141
165,3567.7982552891244
166,3559.9532213069842
167,3552.1212302367403
168,3544.302268334946
169,3536.4963218629555
170,3528.703377086925
171,3520.9234202778134
172,3513.156437711381
173,3505.4024156681876
174,3497.6613404335963
175,3489.933198297768
176,3482.2179755556635
177,3474.5156585070454
178,3466.826233456472
179,3459.149686713299
180,3451.4860045916794
181,3443.8351734105618
182,3436.197179493691
183,3428.5720091696044
184,3420.9596487716344
185,3413.3600846379054
186,3405.7733031113326
187,3398.199290539625
188,3390.63803327528
189,3383.0895176755866
190,3375.5537301026206
191,3368.030656923249
192,3360.520284509124
193,3353.0225992366886
194,3345.5375874871693
195,3338.0652356465807
196,3330.605530105726
197,3323.158457260188
198,3315.72400351034
199,3308.302155261339
200,3300.8928989231263
201,3293.4962209104287
202,3286.112107642758
203,3278.7405455444073
204,3271.381521044458
205,3264.035020576773
206,3256.701030580003
207,3249.3795374975803
208,3242.0705277777206
209,3234.7739878734287
210,3227.489904242493
211,3220.218263347485
212,3212.9590516557646
213,3205.712255639475
214,3198.477861775549
215,3191.255856545705
216,3184.046226436446
217,3176.8489579390684
218,3169.6640375496536
219,3162.491451769071
220,3155.331187102982
221,3148.183230061839
222,3141.0475671608824
223,3133.92418492015
224,3126.813069864466
225,3119.7142085234514
226,3112.627587431524
227,3105.553193127892
228,3098.4910121565654
229,3091.441031066347
230,3084.4032364108407
231,3077.3776147484514
232,3070.364152642379
233,3063.3628366606326
234,3056.3736533760184
235,3049.3965893661507
236,3042.431631213446
237,3035.4787655051305
238,3028.537978833237
239,3021.609257794611
240,3014.692588990901
241,3007.7879590285766
242,3000.895354518915
243,2994.014762078012
244,2987.1461683267794
245,2980.289559890946
246,2973.4449234010613
247,2966.612245492497
248,2959.7915128054465
249,2952.9827119849274
250,2946.185829680786
251,2939.4008525476966
252,2932.62776724516
253,2925.866560437513
254,2919.117218793921
255,2912.379728988391
256,2905.6540776997617
257,2898.9402516117125
258,2892.238237412767
259,2885.548021796285
260,2878.8695914604777
261,2872.2029331084
262,2865.5480334479553
263,2858.904879191901
264,2852.2734570578436
265,2845.653753768247
266,2839.0457560504337
267,2832.449450636582
268,2825.8648242637337
269,2819.291863673797
270,2812.7305556135425
271,2806.1808868346075
272,2799.642844093508
273,2793.116414151623
274,2786.6015837752143
275,2780.0983397354157
276,2773.6066688082456
277,2767.1265577746026
278,2760.6579934202696
279,2754.2009625359174
280,2747.7554519171067
281,2741.3214483642896
282,2734.8989386828143
283,2728.4879096829263
284,2722.0883481797678
285,2715.700240993387
286,2709.3235749487367
287,2702.958336875675
288,2696.6045136089733
289,2690.262091988313
290,2683.931058858295
291,2677.6114010684346
292,2671.303105473171
293,2665.0061589318657
294,2658.720548308809
295,2652.44626047322
296,2646.183282299247
297,2639.9316006659797
298,2633.69120245744
299,2627.462074562595
300,2621.2442038753534
301,2615.037577294572
302,2608.8421817240574
303,2602.6580040725676
304,2596.4850312538188
305,2590.323250186484
306,2584.1726477942007
307,2578.0332110055674
308,2571.904926754156
309,2565.787781978503
310,2559.681763622128
311,2553.586858633519
312,2547.503053966151
313,2541.4303365784795
314,2535.3686934339507
315,2529.318111500997
316,2523.278577753047
317,2517.250079168525
318,2511.232602730856
319,2505.2261354284706
320,2499.2306642548015
321,2493.246176208296
322,2487.2726582924142
323,2481.3100975156303
324,2475.358480891442
325,2469.4177954383704
326,2463.488028179963
327,2457.569166144799
328,2451.66119636649
329,2445.7641058836907
330,2439.8778817400903
331,2434.0025109844264
332,2428.1379806704863
333,2422.2842778571066
334,2416.441389608183
335,2410.6093029926674
336,2404.788005084576
337,2398.977482962992
338,2393.177723712069
339,2387.3887144210353
340,2381.6104421841956
341,2375.842894100938
342,2370.0860572757347
343,2364.3399188181484
